standard_type,standard_size,chemical,processing,cooking,incoterms,price,unit,factory,active_date,week,month,quarter,year,month_number,quarter_number
Sú sinh thái,2/4,Treated,HLSO-O,None,FOB HCM,15.3,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,2/4,Treated,PTO,Raw,FOB HCM,16.24,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,2/4,Treated,PTO,Raw,None,16.69,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,2/4,Treated,PD,Raw,FOB HCM,17.05,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,2/4,Treated,PD,Raw,None,17.51,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,HLSO-O,None,FOB HCM,14.27,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,HLSO-O,None,None,14.67,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PTO,Raw,FOB HCM,15.15,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PTO,Raw,None,15.56,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PD,Raw,FOB HCM,15.9,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PD,Raw,None,16.34,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PTO,Cooked,FOB HCM,17.61,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PTO,Cooked,None,18.09,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PD,Cooked,FOB HCM,16.77,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,4/6,Treated,PD,Cooked,None,17.23,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,HLSO-O,None,FOB HCM,12.4,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,HLSO-O,None,None,12.75,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PTO,Raw,FOB HCM,13.17,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PTO,Raw,None,13.53,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PD,Raw,FOB HCM,13.82,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PD,Raw,None,14.2,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PTO,Cooked,FOB HCM,15.89,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PTO,Cooked,None,16.33,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PD,Cooked,FOB HCM,15.14,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,6/8,Treated,PD,Cooked,None,15.55,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,HLSO-O,None,FOB HCM,9.53,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,HLSO-O,None,None,9.81,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PTO,Raw,FOB HCM,10.11,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PTO,Raw,None,10.4,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PD,Raw,FOB HCM,10.61,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PD,Raw,None,10.92,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PTO,Cooked,FOB HCM,13.08,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PTO,Cooked,None,13.45,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
Sú sinh thái,8/12,Treated,PD,Cooked,FOB HCM,12.46,USD/kg,Hậu Giang,2020-01-09,2020/1/01,2020/1,2020/1,2020,1,1
