type,size,quantity,unit,factory,active_date,day,week,month,quarter,year,month_number,quarter_number
Sú vỏ,13/15.1,5777.5,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,13/15.2,4490.29,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,13/15.3,32857.35,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,16/20.1,11358.79,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,16/20.2,54094.44,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,16/20.3,27668.79,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,21/25.1,34688.28,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,21/25.2,18459.61,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,21/25.3,42095.9,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,2/4,72.38,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,26/30.1,9049.61,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,26/30.2,7824.62,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,26/30.3,9409.66,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,31/40.1,15723.15,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
Sú vỏ,31/40.2,43825.31,kg,Cà Mau,2019-12-24,2019/12/24,2019/12/51,2019/12,2019/4,2019,12,4
