type,size,quantity,unit,factory,active_date,day,week,month,quarter,year,month_number,quarter_number
Sú nguyên con,61,26.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Sú nguyên con,80,52.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,100,1239.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,101,2586.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,104,842.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,122,165.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,15,19.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,30,2774.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,36,276.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,41,3743.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,42,5772.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,43,6324.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,44,2205.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,51,1764.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,53,3340.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,59,477.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,62,1686.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,63,31.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
Thẻ chân trắng,66,1585.0,kg,Hậu Giang,2019-01-02,2019/1/2,2019/1/00,2019/1,2019/1,2019,1,1
