standard_type,standard_size,chemical,processing,cooking,freezing,incoterms,packing,price,unit,currency,active_date,day,week,month,quarter,year,month_number,quarter_number
Sú,110/150,Treated,HLSO,None,FWNC,FOB,10 x 0.75 kg,6.56,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,NWNC,FOB,6 x 1 kg,8.54,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,FWNC,FOB,10 x 0.8 kg,6.87,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,FWNC,FOB,10 x 0.9 kg,7.61,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,None,DDP LA,10 x 1 kg,3.95,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,None,FOB,10 x 1 kg,8.45,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,None,DDP LA,6 x 2 kg,3.9,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/150,Treated,HLSO,None,None,FOB,6 x 2 kg,8.34,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,FWNC,FOB,10 x 0.75 kg,7.45,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,None,DDP LA,10 x 1 kg,4.8,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,None,FOB,10 x 1 kg,10.29,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,None,DDP LA,6 x 2 kg,4.75,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,NWNC,FOB,6 x 1 kg,10.49,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,FWNC,FOB,10 x 0.7 kg,7.55,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,FWNC,FOB,10 x 0.75 kg,8.02,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,FWNC,FOB,10 x 0.9 kg,10.26,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,FWFC,FOB,10 x 0.9 kg,9.32,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,FWNC,FOB,10 x 0.8 kg,8.43,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,FWFC,FOB,10 x 0.8 kg,8.35,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,NWNC,FOB,6 x 1 kg,9.73,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,FWNC,FOB,10 x 0.7 kg,7.02,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,None,FOB,10 x 1 kg,9.75,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,None,DDP LA,10 x 1 kg,4.55,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,None,FOB,6 x 2 kg,9.64,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,None,DDP LA,6 x 2 kg,4.5,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,FWNC,FOB,10 x 0.9 kg,8.87,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,FWNC,FOB,10 x 0.8 kg,8.0,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,NWNC,FOB,6 x 1 kg,9.95,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,FWNC,FOB,10 x 0.7 kg,7.17,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Cooked,None,FOB,6 x 2 kg,10.18,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,None,FOB,10 x 1 kg,9.53,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,None,DDP LA,10 x 1 kg,4.45,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,None,FOB,6 x 2 kg,9.42,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,None,DDP LA,6 x 2 kg,4.4,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,FWNC,FOB,10 x 0.9 kg,8.68,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PD,Raw,FWNC,FOB,10 x 0.8 kg,7.83,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/160,Treated,PTO,Cooked,FWNC,FOB,10 x 0.75 kg,7.61,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,None,DDP LA,10 x 1 kg,4.75,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,None,FOB,6 x 2 kg,10.07,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,None,DDP LA,6 x 2 kg,4.7,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,FWNC,FOB,10 x 0.9 kg,10.16,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,NWNC,FOB,6 x 1 kg,10.38,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,None,FOB,10 x 1 kg,10.18,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,FWNC,FOB,10 x 0.8 kg,8.35,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,FWNC,FOB,10 x 0.7 kg,7.48,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,110/200,Treated,PD,Cooked,FWNC,FOB,10 x 0.75 kg,7.94,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12.0,Chemical free,HOSO,None,None,FOB,6 x 1.3 kg,25.1,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWFC,None,10 x 0.7 kg,9.86,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWNC,None,10 x 0.4 kg,8.29,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWFC,None,10 x 0.75 kg,10.82,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWFC,None,10 x 0.5 kg,5.94,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWNC,None,10 x 0.9 kg,17.57,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWFC,None,10 x 0.9 kg,15.95,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWNC,None,10 x 0.8 kg,15.76,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWFC,None,10 x 0.8 kg,12.51,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWNC,None,10 x 0.75 kg,14.88,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,NWNC,None,10 x 1 kg,19.43,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWNC,None,10 x 0.5 kg,10.15,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWNC,None,10 x 0.7 kg,13.95,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,12/15,Chemical free,HOSO,None,FWFC,None,10 x 0.4 kg,4.4,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,EZP,None,None,FOB,6 x 2 kg,17.01,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Raw,None,FOB,6 x 2 kg,18.53,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Raw,None,DDP LA,10 x 1 kg,8.65,USD/lb,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Raw,None,FOB,10 x 1 kg,18.63,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,FWNC,FOB,10 x 0.8 kg,25.09,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,FWFC,FOB,10 x 0.8 kg,18.99,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,FWNC,FOB,10 x 0.75 kg,23.63,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,FWFC,FOB,10 x 0.75 kg,16.43,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,FWNC,FOB,10 x 0.7 kg,22.13,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,FWFC,FOB,10 x 0.7 kg,14.51,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked in shell,NWNC,FOB,6 x 1 kg,31.31,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWFC,FOB,10 x 0.9 kg,20.28,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWNC,FOB,10 x 0.8 kg,20.14,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWFC,FOB,10 x 0.8 kg,15.65,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWNC,FOB,10 x 0.75 kg,18.99,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWFC,FOB,10 x 0.75 kg,13.38,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWNC,FOB,10 x 0.7 kg,17.79,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,FWFC,FOB,10 x 0.7 kg,11.95,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PTO,Cooked,NWNC,FOB,6 x 1 kg,25.12,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
Sú,13/15,Treated,PD,Cooked in shell,NWNC,FOB,6 x 1 kg,35.07,USD/kg,USD,2019-09-12,2019/9/12,2019/9/36,2019/9,2019/3,2019,9,3
