standard_type,standard_size,cts_specification,ring_oz_specification,chemical,cooking,incoterms,packing,price,unit,active_date,week,month,quarter,year,month_number,quarter_number
Sú,13/15,8X16,12+4,Treated,Cooked,FOB Toronto,Ring,13.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Treated,Cooked,FOB Vancouver,Ring,13.63,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Treated,Cooked,DDP Atlanta,Ring,11.08,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Treated,Cooked,DDP LA,Ring,10.88,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Treated,Cooked,DDP New York,Ring,10.93,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Treated,Cooked,DDP Atlanta,Ring,14.14,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Treated,Cooked,DDP LA,Ring,13.94,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Treated,Cooked,DDP New York,Ring,13.99,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Treated,Cooked,FOB Toronto,Ring,10.79,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Treated,Cooked,FOB Vancouver,Ring,10.63,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Chemical free,Cooked,FOB Toronto,Ring,16.16,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Chemical free,Cooked,FOB Vancouver,Ring,16.0,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Chemical free,Cooked,DDP Atlanta,Ring,12.03,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Chemical free,Cooked,DDP LA,Ring,11.83,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Chemical free,Cooked,DDP New York,Ring,11.88,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Chemical free,Cooked,DDP Atlanta,Ring,16.58,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Chemical free,Cooked,DDP LA,Ring,16.38,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,13/15,8X16,12+4,Chemical free,Cooked,DDP New York,Ring,16.43,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Chemical free,Cooked,FOB Toronto,Ring,11.72,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,13/15,8X16,12+4,Chemical free,Cooked,FOB Vancouver,Ring,11.56,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Treated,Cooked,FOB Toronto,Ring,3.34,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Treated,Cooked,FOB Vancouver,Ring,3.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Treated,Cooked,DDP Atlanta,Ring,3.36,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Treated,Cooked,DDP LA,Ring,3.25,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Treated,Cooked,DDP New York,Ring,3.28,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Treated,Cooked,DDP Atlanta,Ring,3.42,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Treated,Cooked,DDP LA,Ring,3.31,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Sú,75/80,12X10,6+4,Treated,Cooked,DDP New York,Ring,3.34,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Treated,Cooked,FOB Toronto,Ring,3.27,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
Thẻ chân trắng,75/80,12X10,6+4,Treated,Cooked,FOB Vancouver,Ring,3.18,USD/Ring,2019-09-23,2019/9/38,2019/9,2019/3,2019,9,3
